EmployeeID,HireDate,TerminationDate,Status,Age,Gender,MaritalStatus,Department,JobRole,ManagerID,Location,OfficeType,Education,EducationField,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,MonthlyIncome,SalaryChangePercent,PerformanceRating,LastPerformanceDate,JobSatisfaction,WorkLifeBalance,OverTime,NumTrainingsLastYear,CommuteTimeMins,NumberOfProjects,LeaveDaysLastYear,EngagementScore,Attrition
E10019,2012-12-18,,Active,28,Female,Married,R&D,Technician,M108,Remote,Remote,High School,Marketing,6,9,5,9,7418,-7,3,2023-03-21,4,3,No,6,70,3,11,53,0
E10020,2017-01-02,2017-03-07 00:00:00,Terminated,22,Female,Single,Finance,Technician,M122,Chennai,Remote,Bachelor's,Technical,2,4,1,2,14478,-10,4,2023-01-29,2,4,Yes,8,99,13,22,81,1
E10021,2015-08-10,,Active,47,Female,Married,Operations,Executive,M127,London,On-site,Bachelor's,Marketing,4,0,0,8,5556,-6,4,2023-12-13,4,1,Yes,4,68,14,21,65,0
E10022,2017-07-10,,Active,44,Female,Single,Operations,Clerk,M141,Chennai,Hybrid,Bachelor's,Operations,10,9,7,5,10795,-2,3,2023-08-11,2,1,No,1,27,13,24,79,0
E10023,2012-09-02,,Active,47,Female,Married,HR,Technician,M141,Chennai,Hybrid,Bachelor's,Operations,10,3,1,0,5387,-3,3,2023-02-20,5,3,No,7,82,3,22,82,0
E10024,2014-12-12,,Active,27,Female,Married,R&D,Executive,M117,New York,Remote,Master's,Marketing,3,4,7,8,13478,3,3,2023-11-11,4,4,No,2,22,4,23,86,0
E10025,2010-07-09,,Active,27,Female,Married,HR,Clerk,M132,London,On-site,Bachelor's,Operations,3,4,4,4,13749,3,2,2023-03-29,3,4,No,4,79,2,1,57,0
E10026,2017-06-27,,Active,29,Male,Divorced,Operations,Engineer,M133,Bangalore,On-site,Bachelor's,Operations,9,4,2,2,13693,-7,3,2023-06-08,5,5,No,5,62,12,9,80,0
E10027,2018-03-25,2018-06-06 00:00:00,Terminated,45,Male,Married,Finance,Technician,M131,Remote,On-site,High School,Finance,14,9,0,3,6781,14,3,2023-05-17,5,5,No,2,64,12,3,79,1
E10028,2022-10-03,2023-10-26 00:00:00,Terminated,43,Other,Single,HR,Manager,M106,Bangalore,Remote,High School,Marketing,7,8,3,4,18846,-4,3,2023-04-19,5,1,No,5,19,10,8,87,1
E10029,2015-03-15,,Active,40,Female,Single,Finance,Executive,M139,New York,On-site,PhD,Marketing,8,8,3,0,10225,-9,3,2023-10-13,2,4,No,4,89,4,6,52,0
E10030,2013-06-21,,Active,58,Female,Divorced,IT,Technician,M109,Chennai,Remote,Bachelor's,HR,10,4,7,9,12088,0,3,2023-03-31,2,2,Yes,6,73,1,11,69,0
E10031,2014-03-09,,Active,39,Male,Single,R&D,Engineer,M142,Remote,Remote,Bachelor's,Finance,12,5,6,2,15529,-4,3,2023-10-23,3,5,Yes,9,71,7,1,54,0
E10032,2018-10-08,,Active,52,Female,Single,Finance,Engineer,M132,London,On-site,PhD,Technical,13,7,7,6,3075,9,4,2023-01-07,2,4,No,1,86,5,14,95,0
E10033,2019-09-27,,Active,58,Male,Single,R&D,Technician,M136,Remote,Remote,Master's,Finance,13,6,5,8,15635,18,4,2023-05-19,1,3,No,7,12,4,16,92,0
E10034,2020-08-26,,Active,51,Male,Married,Finance,Analyst,M116,New York,On-site,Bachelor's,Technical,3,5,6,5,6602,10,3,2023-01-03,1,5,No,5,42,2,18,54,0
E10035,2011-10-09,,Active,54,Male,Single,Sales,Executive,M112,Chennai,Hybrid,Bachelor's,Marketing,11,3,6,3,4657,6,3,2023-09-10,4,1,Yes,0,30,13,11,51,0
E10036,2017-11-28,2022-11-21 00:00:00,Terminated,31,Female,Divorced,Sales,Clerk,M141,New York,On-site,Master's,Finance,1,2,2,3,17477,16,4,2023-08-13,5,1,No,1,100,13,15,100,1
E10037,2016-09-01,,Active,58,Male,Widowed,Sales,Clerk,M103,London,On-site,Master's,HR,0,3,0,8,8849,4,2,2023-01-20,1,1,No,2,68,12,5,75,0
E10038,2011-08-24,,Active,33,Male,Widowed,Finance,Engineer,M127,Bangalore,On-site,High School,Operations,13,2,0,0,17167,19,4,2023-09-18,2,1,Yes,2,81,8,4,65,0
E10039,2016-06-21,,Active,51,Male,Single,Operations,Technician,M127,Chennai,Hybrid,Bachelor's,Technical,9,7,0,5,14935,-7,2,2023-06-11,3,4,No,9,68,12,16,89,0
E10040,2015-08-24,,Active,48,Female,Divorced,Operations,Analyst,M109,Chennai,Remote,Bachelor's,Operations,3,5,2,3,7869,-9,3,2023-05-22,2,4,Yes,2,119,12,18,98,0
E10041,2010-08-30,,Active,30,Female,Widowed,R&D,Executive,M117,New York,On-site,High School,Marketing,14,5,2,2,7208,-2,5,2023-02-14,5,5,No,4,78,3,9,81,0
E10042,2015-08-04,,Active,42,Female,Divorced,Sales,Manager,M146,New York,On-site,Bachelor's,Marketing,7,0,3,0,17828,17,3,2023-11-05,5,2,No,8,5,5,20,51,0
E10043,2017-09-25,,Active,33,Male,Married,R&D,Clerk,M105,New York,Remote,Bachelor's,Marketing,4,4,6,4,3349,1,2,2023-10-07,1,1,No,5,46,3,8,90,0
E10044,2017-02-25,2020-10-08 00:00:00,Terminated,50,Female,Married,Finance,Executive,M126,Chennai,On-site,High School,Operations,1,7,1,3,6090,19,3,2023-08-10,1,2,No,8,15,12,10,76,1
E10045,2013-09-25,,Active,54,Female,Single,R&D,Executive,M121,New York,Hybrid,Bachelor's,Marketing,14,1,4,9,8848,13,3,2023-07-10,2,1,Yes,2,73,10,9,93,0
E10046,2014-01-18,,Active,36,Female,Divorced,R&D,Analyst,M101,Remote,Hybrid,Bachelor's,Marketing,10,2,3,3,4523,8,4,2023-01-09,4,5,Yes,8,5,7,14,94,0
E10047,2016-12-31,,Active,23,Male,Single,Sales,Executive,M101,Remote,Remote,Bachelor's,Operations,3,8,5,7,3641,12,1,2023-07-10,2,3,No,3,69,4,13,64,0
E10048,2012-02-15,,Active,39,Female,Single,Operations,Clerk,M135,Remote,Hybrid,Master's,Marketing,3,3,5,1,11190,12,2,2023-11-08,1,1,Yes,6,87,12,15,72,0
E10049,2020-12-28,,Active,24,Other,Widowed,HR,Technician,M109,Chennai,On-site,Master's,Technical,9,9,5,9,6496,18,3,2023-11-29,4,3,Yes,0,54,14,11,71,0
E10050,2010-02-04,2010-11-08 00:00:00,Terminated,28,Male,Single,IT,Clerk,M123,New York,On-site,PhD,Finance,4,4,6,9,13750,11,2,2023-11-29,4,1,Yes,9,73,9,14,69,1
E10051,2018-08-19,,Active,39,Male,Single,Finance,Manager,M138,London,On-site,Bachelor's,Technical,1,6,0,3,15395,8,5,2023-07-18,1,2,No,2,80,1,20,50,0
E10052,2015-05-10,2019-07-13 00:00:00,Terminated,59,Male,Widowed,Finance,Technician,M141,New York,On-site,Bachelor's,Marketing,6,4,1,0,17440,14,3,2023-07-22,2,1,Yes,3,96,13,13,84,1
E10053,2014-05-05,,Active,58,Female,Widowed,Finance,Engineer,M104,Chennai,Hybrid,Master's,Marketing,4,1,7,1,11480,14,3,2023-05-08,3,2,No,7,64,5,11,78,0
E10054,2020-10-18,,Active,54,Male,Single,IT,Analyst,M119,Remote,On-site,Master's,Marketing,3,6,4,9,17966,11,5,2023-04-23,1,3,Yes,0,41,5,16,100,0
E10055,2018-06-01,,Active,52,Male,Divorced,HR,Clerk,M137,Chennai,Hybrid,Master's,Marketing,7,5,0,9,9045,-8,3,2023-02-11,2,4,No,6,27,11,8,71,0
E10056,2012-10-18,,Active,32,Male,Single,Operations,Technician,M105,New York,Remote,Bachelor's,Operations,14,8,2,2,9433,9,3,2023-01-01,3,3,Yes,3,9,13,2,78,0
E10057,2019-06-24,,Active,25,Female,Single,R&D,Executive,M128,Chennai,On-site,Bachelor's,Finance,1,1,1,0,9163,-6,3,2023-03-05,5,4,No,2,91,14,23,71,0
E10058,2017-02-26,,Active,39,Female,Single,Operations,Technician,M146,London,On-site,Master's,Operations,0,1,7,1,9461,-2,3,2023-08-08,5,5,Yes,7,92,7,16,60,0
E10059,2020-07-10,,Active,25,Female,Single,Finance,Clerk,M142,Chennai,On-site,Master's,Operations,5,7,2,6,13241,8,3,2023-03-13,5,5,No,4,85,1,8,70,0
E10060,2014-02-09,2015-06-04 00:00:00,Terminated,55,Female,Single,R&D,Engineer,M148,Bangalore,On-site,Master's,Marketing,9,9,4,9,4623,-2,4,2023-01-15,3,5,No,5,8,13,18,94,1
E10061,2010-06-11,,Active,50,Male,Single,Sales,Clerk,M123,Chennai,On-site,High School,Technical,9,0,5,9,19636,10,4,2023-11-21,4,5,No,1,21,8,22,60,0
E10062,2021-10-07,,Active,45,Female,Divorced,Operations,Engineer,M138,New York,On-site,Bachelor's,Technical,7,7,4,5,15917,11,3,2023-10-28,5,1,Yes,0,34,7,11,71,0
E10063,2015-06-05,,Active,43,Female,Married,Sales,Executive,M123,Bangalore,Remote,Bachelor's,HR,6,4,0,1,17561,7,4,2023-03-30,5,3,No,6,112,8,22,100,0
E10064,2012-09-22,,Active,23,Male,Divorced,Sales,Clerk,M146,Remote,Remote,Master's,Finance,8,0,2,0,9482,5,3,2023-03-21,4,2,No,7,58,14,5,95,0
E10065,2019-02-25,,Active,27,Female,Married,Operations,Technician,M118,New York,On-site,Master's,HR,0,9,3,9,8778,-9,3,2023-06-17,3,1,No,2,93,12,1,92,0
E10066,2022-06-18,,Active,46,Female,Single,Finance,Manager,M129,London,On-site,Bachelor's,Operations,2,0,5,8,19751,19,3,2023-04-01,3,1,No,5,85,1,9,58,0
E10067,2020-05-26,,Active,42,Female,Divorced,IT,Manager,M128,Chennai,Hybrid,Bachelor's,HR,8,5,6,0,16803,17,3,2023-03-04,4,5,Yes,0,82,11,0,56,0
E10068,2013-06-29,,Active,37,Male,Divorced,Finance,Executive,M109,Chennai,On-site,High School,HR,4,9,3,9,12762,1,4,2023-12-15,1,1,No,3,27,14,2,53,0
E10069,2012-10-13,,Active,52,Other,Single,Sales,Technician,M139,New York,On-site,Bachelor's,HR,5,1,2,4,17995,7,3,2023-06-29,4,2,Yes,1,28,3,22,84,0
E10070,2010-12-04,,Active,35,Female,Single,Sales,Manager,M110,Chennai,Remote,Bachelor's,Finance,13,1,7,8,5030,12,3,2023-09-20,2,3,No,0,21,6,7,61,0
E10071,2012-05-28,,Active,49,Male,Married,Finance,Executive,M102,Chennai,Hybrid,Master's,Technical,10,0,4,8,16945,18,1,2023-08-04,2,5,Yes,2,63,7,13,91,0
E10072,2012-12-12,,Active,53,Male,Married,IT,Engineer,M113,Remote,Hybrid,Master's,Technical,12,0,5,5,15700,16,3,2023-11-07,1,5,Yes,1,56,13,9,88,0
E10073,2020-12-07,2023-04-26 00:00:00,Terminated,49,Male,Divorced,IT,Technician,M138,Chennai,On-site,Bachelor's,HR,6,3,1,2,13638,0,4,2023-02-16,1,2,No,4,50,11,20,76,1
E10074,2011-01-15,,Active,30,Other,Single,R&D,Engineer,M127,Chennai,Remote,Bachelor's,Finance,2,4,5,1,10558,11,2,2023-12-19,2,1,No,8,85,3,2,86,0
E10075,2011-05-08,,Active,43,Female,Single,HR,Technician,M141,Remote,On-site,Bachelor's,Technical,6,3,2,2,13037,12,5,2023-06-15,4,2,Yes,7,82,9,13,78,0
E10076,2015-08-25,,Active,53,Male,Married,Sales,Engineer,M120,Chennai,Hybrid,Bachelor's,Marketing,2,5,6,0,5296,18,2,2023-12-26,3,4,No,1,63,5,18,65,0
E10077,2020-08-20,2022-04-18 00:00:00,Terminated,26,Male,Married,IT,Engineer,M140,Remote,On-site,PhD,Technical,5,7,7,2,13423,-8,4,2023-10-26,2,3,No,6,83,7,13,99,1
E10078,2010-03-06,,Active,44,Male,Single,Operations,Manager,M110,London,On-site,Master's,Technical,7,1,6,1,14457,9,3,2023-07-17,4,3,No,2,23,14,18,100,0
E10079,2017-01-12,,Active,26,Female,Single,Sales,Technician,M116,Chennai,Hybrid,Bachelor's,Finance,6,0,0,7,12761,16,4,2023-05-16,2,2,No,5,73,7,3,62,0
E10080,2015-07-21,,Active,53,Male,Married,HR,Clerk,M115,New York,Hybrid,Bachelor's,Finance,4,1,3,9,15116,11,3,2023-12-08,3,3,Yes,8,21,5,22,56,0
E10081,2017-05-19,,Active,31,Other,Married,Operations,Manager,M113,Bangalore,Remote,Bachelor's,Technical,11,9,6,6,8204,-8,3,2023-06-27,2,3,No,2,101,4,6,79,0
E10082,2014-02-04,2018-07-26 00:00:00,Terminated,36,Female,Single,Sales,Engineer,M138,London,On-site,Bachelor's,Marketing,5,5,5,0,4408,4,3,2023-03-19,2,1,No,9,107,13,8,59,1
E10083,2011-01-27,,Active,28,Female,Married,IT,Engineer,M120,Chennai,On-site,Bachelor's,Marketing,3,3,0,0,19954,1,4,2023-05-21,3,5,No,9,10,13,15,86,0
E10084,2022-05-12,2023-10-15 00:00:00,Terminated,50,Male,Married,R&D,Clerk,M124,New York,Hybrid,High School,HR,1,6,1,4,10010,19,4,2023-11-02,5,5,Yes,1,29,9,0,88,1
E10085,2022-04-02,,Active,24,Male,Widowed,Finance,Clerk,M141,Bangalore,Remote,Master's,HR,6,1,3,3,6074,-10,3,2023-04-06,2,5,No,1,51,4,20,79,0
E10086,2019-10-02,,Active,40,Female,Single,Operations,Engineer,M107,Remote,On-site,Bachelor's,Technical,3,0,3,7,3853,11,5,2023-11-30,2,2,No,4,21,12,22,85,0
E10087,2016-03-28,,Active,31,Male,Single,Finance,Clerk,M123,Chennai,On-site,PhD,Technical,5,4,6,7,13853,15,4,2023-06-12,2,2,No,5,37,13,19,95,0
E10088,2018-06-27,,Active,49,Male,Divorced,IT,Analyst,M124,Remote,Hybrid,High School,Technical,9,8,3,2,7289,0,1,2023-01-25,1,5,No,3,15,7,19,61,0
E10089,2010-07-20,,Active,50,Female,Single,IT,Manager,M129,London,Remote,Master's,Marketing,11,5,7,4,8496,15,3,2023-01-31,1,4,Yes,5,37,2,3,82,0
E10090,2018-07-02,,Active,36,Male,Married,Operations,Technician,M105,Bangalore,Remote,Master's,Operations,1,5,5,6,10920,-9,4,2023-09-04,3,4,Yes,3,32,8,4,96,0
E10091,2022-08-04,2023-11-08 00:00:00,Terminated,56,Male,Married,HR,Clerk,M143,Bangalore,On-site,High School,HR,13,0,7,7,5700,18,3,2023-02-18,4,1,No,4,110,4,17,50,1
E10092,2016-09-20,,Active,27,Male,Single,Operations,Clerk,M145,Remote,Remote,Bachelor's,HR,1,0,0,2,9628,12,3,2023-06-20,1,2,No,6,45,5,16,95,0
E10093,2019-12-25,,Active,33,Male,Married,Sales,Analyst,M135,Remote,Hybrid,Master's,Operations,5,3,6,7,18388,18,3,2023-10-28,3,5,Yes,5,63,5,21,72,0
E10094,2012-03-15,,Active,59,Other,Married,HR,Technician,M101,London,On-site,Bachelor's,Technical,7,1,7,9,10192,10,2,2023-04-26,1,4,No,1,9,1,11,92,0
E10095,2017-06-24,,Active,34,Male,Married,Finance,Analyst,M136,New York,Remote,Bachelor's,HR,0,2,4,8,8568,3,3,2023-07-31,4,5,No,8,89,14,11,74,0
E10096,2017-08-05,,Active,50,Male,Single,Sales,Technician,M118,Chennai,On-site,Master's,Marketing,13,5,6,2,13338,-10,4,2023-12-23,1,3,Yes,9,34,4,1,87,0
E10097,2014-04-20,,Active,40,Female,Widowed,HR,Manager,M106,New York,On-site,High School,Operations,9,9,0,1,4551,14,3,2023-01-07,5,4,Yes,4,50,7,6,65,0
E10098,2017-05-14,,Active,24,Male,Single,Finance,Clerk,M123,Bangalore,Remote,Bachelor's,Marketing,6,0,4,1,7679,7,4,2023-07-21,4,5,Yes,8,94,4,9,62,0
E10099,2020-07-07,,Active,29,Male,Married,Sales,Manager,M110,Chennai,Hybrid,Bachelor's,Technical,5,9,7,4,14726,7,2,2023-05-14,4,2,No,4,60,2,7,84,0
E10100,2012-10-25,,Active,29,Male,Divorced,R&D,Technician,M107,London,Remote,Bachelor's,HR,13,1,5,9,15984,4,3,2023-08-05,1,2,No,2,7,5,13,58,0
E10101,2011-05-18,,Active,41,Male,Single,Operations,Clerk,M144,New York,On-site,Bachelor's,Marketing,14,3,2,0,14436,15,3,2023-11-02,1,3,No,6,117,7,2,78,0
E10102,2022-04-21,,Active,25,Male,Married,Operations,Analyst,M108,New York,On-site,Bachelor's,Operations,4,5,7,5,11627,15,3,2023-10-28,2,3,No,7,89,4,24,61,0
E10103,2012-05-20,2016-05-27 00:00:00,Terminated,42,Male,Widowed,Operations,Engineer,M113,Chennai,Hybrid,Master's,Technical,12,2,3,6,4534,-7,4,2023-07-01,2,1,No,4,16,6,22,98,1
E10104,2022-04-16,,Active,24,Female,Single,R&D,Analyst,M130,London,On-site,Bachelor's,HR,9,8,6,4,18363,-9,4,2023-05-04,4,5,Yes,8,11,11,4,91,0
E10105,2010-07-26,,Active,29,Male,Single,HR,Engineer,M118,London,Hybrid,Bachelor's,HR,12,9,6,7,4490,4,3,2023-05-25,2,4,Yes,2,30,4,14,86,0
E10106,2014-01-24,2018-04-10 00:00:00,Terminated,44,Female,Divorced,IT,Analyst,M114,New York,On-site,Bachelor's,Technical,11,3,7,5,9484,2,4,2023-12-08,2,4,No,7,48,13,15,84,1
E10107,2012-05-13,,Active,37,Female,Single,Sales,Technician,M111,New York,Hybrid,Master's,Technical,12,6,0,0,14940,-1,3,2023-12-09,2,4,Yes,1,60,3,3,53,0
E10108,2017-08-22,,Active,34,Female,Single,HR,Manager,M142,Remote,Hybrid,Bachelor's,Technical,7,4,1,8,12213,4,1,2023-07-11,5,1,No,9,59,10,14,54,0
E10109,2011-07-18,,Active,24,Male,Divorced,IT,Engineer,M138,Chennai,On-site,PhD,Marketing,0,5,1,4,3169,-5,3,2023-04-09,2,5,No,0,107,11,6,74,0
E10110,2021-06-23,,Active,30,Male,Married,Operations,Technician,M113,London,Remote,High School,Finance,4,8,6,4,7835,18,3,2023-04-30,2,3,No,6,17,1,13,77,0
E10111,2014-10-24,,Active,35,Female,Widowed,Operations,Manager,M142,Bangalore,On-site,Bachelor's,HR,11,8,6,0,3700,10,3,2023-12-25,5,1,Yes,9,82,11,14,95,0
E10112,2014-08-06,,Active,34,Female,Single,Operations,Manager,M144,Chennai,On-site,High School,Marketing,5,5,4,4,3950,-1,5,2023-04-26,1,3,Yes,4,29,11,21,65,0
E10113,2018-11-17,,Active,28,Female,Single,IT,Clerk,M133,Remote,On-site,Bachelor's,Operations,3,1,4,2,15029,15,3,2023-10-09,4,1,No,6,85,8,12,69,0
E10114,2022-09-11,,Active,36,Male,Single,Sales,Clerk,M113,Chennai,Remote,Bachelor's,HR,9,8,3,9,6830,-8,3,2023-09-20,3,1,No,2,20,11,21,56,0
E10115,2012-11-25,,Active,28,Female,Married,Sales,Clerk,M125,New York,On-site,Master's,Finance,10,1,4,2,19681,2,4,2023-06-11,1,4,No,2,96,6,17,86,0
E10116,2014-09-19,,Active,59,Male,Married,IT,Engineer,M124,Chennai,Remote,Master's,Operations,11,1,1,9,3509,7,3,2023-01-05,5,1,No,0,108,13,19,66,0
E10117,2019-01-28,,Active,55,Male,Single,Finance,Engineer,M129,Chennai,On-site,Bachelor's,HR,9,1,0,7,17494,-5,1,2023-07-24,5,4,No,2,45,10,23,92,0
E10118,2018-08-24,,Active,43,Male,Single,Operations,Manager,M136,Chennai,On-site,High School,Finance,1,6,0,8,8893,3,1,2023-10-16,4,4,Yes,0,86,3,11,66,0
E10119,2017-03-10,,Active,45,Male,Married,HR,Engineer,M106,Bangalore,Remote,Master's,Technical,12,3,4,5,16074,7,3,2023-06-20,2,4,Yes,3,8,1,22,99,0
E10120,2017-06-22,,Active,58,Female,Married,Sales,Manager,M118,Remote,Remote,Bachelor's,Finance,7,7,6,2,14623,0,3,2023-10-16,3,2,Yes,9,44,4,2,76,0
E10121,2014-05-17,,Active,22,Female,Single,IT,Technician,M128,Chennai,Remote,Bachelor's,HR,4,7,4,7,17077,9,3,2023-07-30,3,4,No,4,55,14,19,70,0
E10122,2018-05-19,,Active,31,Female,Divorced,Finance,Analyst,M105,Chennai,Remote,Bachelor's,Finance,9,0,6,2,10581,4,4,2023-12-27,3,5,No,9,85,11,18,83,0
E10123,2017-05-17,,Active,37,Female,Single,R&D,Manager,M118,Bangalore,Hybrid,Bachelor's,HR,5,0,5,6,19202,10,3,2023-07-08,1,5,Yes,8,59,12,13,98,0
E10124,2019-12-07,,Active,29,Female,Married,IT,Manager,M137,London,On-site,Bachelor's,HR,8,3,1,1,8229,2,3,2023-05-26,5,1,No,0,37,4,15,89,0
E10125,2013-09-25,2016-04-28 00:00:00,Terminated,46,Female,Divorced,Finance,Technician,M107,Chennai,On-site,Bachelor's,Finance,13,1,2,5,3448,5,5,2023-05-22,3,3,No,7,43,12,9,69,1
E10126,2015-06-05,2023-02-08 00:00:00,Terminated,33,Male,Married,R&D,Clerk,M109,Chennai,Remote,Bachelor's,Finance,1,2,6,7,8886,16,4,2023-06-08,3,5,No,3,28,8,8,91,1
E10127,2014-07-22,,Active,46,Female,Single,Finance,Executive,M135,London,Remote,Master's,Operations,4,9,0,2,8646,13,3,2023-03-22,2,3,No,3,87,6,6,81,0
E10128,2014-03-10,,Active,38,Male,Single,Sales,Clerk,M112,Chennai,Remote,Bachelor's,Operations,11,1,4,8,3917,1,4,2023-05-15,1,4,No,0,67,3,23,94,0
E10129,2015-08-01,2020-03-25 00:00:00,Terminated,47,Male,Divorced,IT,Clerk,M146,Chennai,Remote,Bachelor's,Marketing,0,9,5,8,12015,-10,3,2023-12-07,5,3,No,7,110,5,4,87,1
E10130,2019-01-16,,Active,35,Male,Single,R&D,Manager,M140,Chennai,On-site,Bachelor's,HR,2,8,5,2,16498,12,3,2023-03-12,4,4,No,4,64,11,11,71,0
E10131,2016-02-16,,Active,57,Male,Married,Finance,Manager,M144,Remote,On-site,Master's,Operations,5,5,5,2,9937,3,4,2023-05-09,2,2,Yes,2,114,6,11,64,0
E10132,2013-07-30,,Active,44,Female,Widowed,R&D,Engineer,M139,New York,Remote,Bachelor's,Marketing,7,6,5,4,16926,11,2,2023-12-08,2,1,No,4,102,11,20,85,0
E10133,2021-01-12,,Active,27,Female,Widowed,HR,Engineer,M124,Remote,On-site,High School,HR,11,5,3,8,7273,-8,3,2023-10-05,2,3,Yes,6,98,5,16,99,0
E10134,2017-04-29,,Active,26,Male,Married,IT,Analyst,M109,London,On-site,Bachelor's,Marketing,4,0,4,0,11790,-1,3,2023-03-28,3,3,No,8,56,2,8,77,0
E10135,2013-07-06,,Active,46,Other,Married,Sales,Analyst,M112,Remote,On-site,High School,Operations,11,4,4,0,16263,15,5,2023-04-02,4,3,No,8,53,6,14,51,0
E10136,2011-12-11,,Active,39,Female,Widowed,R&D,Executive,M136,Remote,On-site,High School,Marketing,3,2,7,0,5364,-1,3,2023-07-10,1,1,No,6,99,14,24,82,0
E10137,2022-12-28,,Active,34,Female,Single,Operations,Engineer,M137,Bangalore,Remote,Bachelor's,Finance,4,9,5,3,16503,-10,4,2023-08-20,5,2,No,8,70,14,11,86,0
E10138,2022-01-31,,Active,35,Female,Single,Finance,Manager,M109,London,On-site,Bachelor's,Marketing,3,7,0,6,3002,7,3,2023-09-13,1,1,Yes,8,45,14,13,71,0
E10139,2020-04-06,,Active,49,Male,Single,Operations,Technician,M139,London,Hybrid,PhD,Technical,1,6,4,1,8277,6,5,2023-02-15,2,5,Yes,2,19,13,19,77,0
E10140,2011-10-26,,Active,39,Female,Single,R&D,Engineer,M146,London,Remote,High School,Technical,13,8,6,2,8305,8,3,2023-02-26,4,1,Yes,4,61,8,13,59,0
